schema_version,dataset,architecture,seed,aggregate_accuracy,train_time_sec,epochs_run,normal_recall,normal_precision,normal_support,bruteforce_recall,bruteforce_precision,bruteforce_support,dos_recall,dos_precision,dos_support,web_attacks_recall,web_attacks_precision,web_attacks_support,infiltration_recall,infiltration_precision,infiltration_support,botnet_recall,botnet_precision,botnet_support,ddos_recall,ddos_precision,ddos_support
1.0,cse_cic_ids2018_draw2,xgboost,12,0.984649616240406,6.27,,0.9992467837666837,0.988672270911584,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.04522613065326633,0.4186046511627907,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,13,0.9847496187404685,7.04,,0.9993672983640144,0.9886736214605067,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.04522613065326633,0.46153846153846156,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,14,0.9846996174904372,6.58,,0.9993371697146817,0.9886438152011923,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.9706666666666667,1622,1.0,1.0,2,0.04271356783919598,0.4473684210526316,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,15,0.9846996174904372,6.51,,0.9993371697146817,0.9886438152011923,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.04271356783919598,0.4358974358974359,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,16,0.9846746168654217,6.58,,0.9994275556626796,0.9885269839377775,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.032663316582914576,0.40625,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,17,0.9846996174904372,6.64,,0.9992769124160163,0.9887020807249747,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.04773869346733668,0.4418604651162791,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,18,0.9846746168654217,6.41,,0.9993672983640144,0.9885852233779394,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.03768844221105527,0.4166666666666667,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,19,0.9846246156153904,6.51,,0.9992166551173511,0.9886719332240275,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.04522613065326633,0.4090909090909091,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,20,0.9844996124903123,6.32,,0.9991262691693531,0.9886119723348438,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.04020100502512563,0.35555555555555557,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,21,0.9845996149903747,6.29,,0.9992467837666837,0.9886133301538095,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.04020100502512563,0.3902439024390244,398,1.0,1.0,709,1.0,1.0,3133
