schema_version,dataset,architecture,seed,aggregate_accuracy,train_time_sec,epochs_run,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
1.0,nsl_kdd,xgboost,6,0.7762154009936125,3.57,,0.9715786221810319,0.680883308075341,9711,0.8416465540359346,0.9642089093701997,7458,0.6658405617513424,0.8080200501253133,2421,0.05809731299927379,0.9815950920245399,2754,0.075,0.7894736842105263,200
1.0,nsl_kdd,xgboost,7,0.7780784244144784,4.29,,0.9716815981876222,0.6831245927749222,9711,0.8417806382408153,0.9642144063891875,7458,0.6464270962412226,0.8021527421834956,2421,0.0915032679738562,0.9882352941176471,2754,0.05,0.7142857142857143,200
1.0,nsl_kdd,xgboost,8,0.7784332860184529,3.63,,0.9718875502008032,0.6842601319509897,9711,0.8405738803968893,0.9641648723469701,7458,0.6707971912432878,0.8031651829871415,2421,0.0766158315177923,0.9768518518518519,2754,0.035,0.6363636363636364,200
1.0,nsl_kdd,xgboost,9,0.7729772888573456,3.59,,0.9719905262073937,0.6782352518502551,9711,0.8291767229820327,0.9636901979117968,7458,0.6654275092936803,0.8010939830929885,2421,0.06535947712418301,0.9836065573770492,2754,0.06,0.75,200
1.0,nsl_kdd,xgboost,10,0.7757718239886444,3.61,,0.9719905262073937,0.6809262732650411,9711,0.8439259855189059,0.9643021296154436,7458,0.6637752994630318,0.8035,2421,0.05156136528685548,0.9793103448275862,2754,0.035,0.7,200
1.0,nsl_kdd,xgboost,11,0.7784332860184529,3.59,,0.9717845741942127,0.6832959235392079,9711,0.8404397961920086,0.9640110735158413,7458,0.6658405617513424,0.8100502512562814,2421,0.0813362381989833,0.9781659388646288,2754,0.04,0.6666666666666666,200
1.0,nsl_kdd,xgboost,12,0.7759492547906317,3.99,,0.9719905262073937,0.6785765636232926,9711,0.8352105122016626,0.9637939037598638,7458,0.674514663362247,0.8289340101522843,2421,0.06681190994916485,0.9735449735449735,2754,0.04,0.6666666666666666,200
1.0,nsl_kdd,xgboost,13,0.7793647977288858,3.62,,0.9726083822469365,0.6830838215086426,9711,0.8420488066505766,0.9642253953631199,7458,0.6456009913258984,0.8149113660062565,2421,0.09876543209876543,0.9963369963369964,2754,0.05,0.7692307692307693,200
1.0,nsl_kdd,xgboost,14,0.7720014194464159,3.61,,0.9719905262073937,0.6755654165473804,9711,0.8381603647090373,0.9640653917334978,7458,0.6389921520033044,0.8086774699424987,2421,0.05737109658678286,0.9753086419753086,2754,0.045,0.6923076923076923,200
1.0,nsl_kdd,xgboost,15,0.7707150461320085,3.55,,0.9715786221810319,0.6716736669751548,9711,0.8289085545722714,0.9636788776305534,7458,0.6637752994630318,0.8352390852390852,2421,0.05119825708061002,0.9724137931034482,2754,0.05,0.7692307692307693,200
1.0,nsl_kdd,xgboost,16,0.7795865862313698,3.55,,0.9716815981876222,0.6853075749872903,9711,0.8372217752748726,0.9638777400432232,7458,0.6774060305658819,0.8062930186823992,2421,0.09005083514887437,0.9802371541501976,2754,0.035,0.7,200
1.0,nsl_kdd,xgboost,17,0.7779453513129879,3.55,,0.9717845741942127,0.6799971177403084,9711,0.8429873960847413,0.964115933139089,7458,0.6629491945477075,0.8320373250388803,2421,0.07262164124909223,0.9852216748768473,2754,0.045,0.6923076923076923,200
1.0,nsl_kdd,xgboost,18,0.7759048970901349,3.59,,0.9717845741942127,0.6803893294881038,9711,0.8417806382408153,0.9645106775234291,7458,0.634035522511359,0.8015665796344648,2421,0.08460421205519245,0.9831223628691983,2754,0.045,0.6923076923076923,200
1.0,nsl_kdd,xgboost,19,0.7732434350603264,3.53,,0.9718875502008032,0.6777251184834123,9711,0.8429873960847413,0.9642638036809816,7458,0.6224700536968195,0.7973544973544974,2421,0.06862745098039216,0.9792746113989638,2754,0.055,0.7333333333333333,200
1.0,nsl_kdd,xgboost,20,0.7761266855926189,3.53,,0.9715786221810319,0.6773637734223562,9711,0.8427192276749799,0.9642528382939553,7458,0.647666253614209,0.83448642895157,2421,0.07298474945533769,0.9710144927536232,2754,0.04,0.7272727272727273,200
1.0,nsl_kdd,xgboost,21,0.7792760823278921,3.53,,0.9717845741942127,0.6846343586767266,9711,0.8415124698310539,0.9640552995391705,7458,0.6666666666666666,0.8065967016491754,2421,0.08424110384894698,0.9830508474576272,2754,0.045,0.6923076923076923,200
1.0,nsl_kdd,xgboost,22,0.7762597586941093,3.6,,0.9718875502008032,0.6786022433132011,9711,0.8417806382408153,0.9642144063891875,7458,0.6319702602230484,0.8208154506437768,2421,0.08823529411764706,0.9838056680161943,2754,0.055,0.7857142857142857,200
