architecture,metric,n_seeds,mean_ci_half_width,median_ci_half_width,sd_subset_means,p05_subset_mean,p95_subset_mean,frac_ci_excludes_full_mean,prefix_ci_half_width,prefix_mean,full_mean
dnn,u2r_recall,20,0.014920773543314662,0.015160647501091244,0.005222715913345423,0.07825000000000001,0.09525,0.025,0.013386831114284011,0.0845,0.0865
dnn,u2r_recall,30,0.012083860505952107,0.012108017288981341,0.002790881186215808,0.08200000000000002,0.09116666666666666,0.002,0.009558876870373597,0.08583333333333337,0.0865
dnn,u2r_recall,40,0.010370796450374158,0.010370796450374158,0.0,0.0865,0.0865,0.0,0.010370796450374158,0.0865,0.0865
random_forest,aggregate_accuracy,3,0.012358898113440124,0.010911189504602792,0.0031806816845134506,0.7425449491365035,0.7528544180269695,0.077,0.00325077941278063,0.7406700969955051,0.7470435592618878
random_forest,aggregate_accuracy,5,0.00658099170165179,0.006150268634074583,0.0023736246051477205,0.743415986515259,0.7512792760823279,0.079,0.006616508124477355,0.7444996451383961,0.7470435592618878
random_forest,aggregate_accuracy,10,0.004016056200083316,0.004107524921840385,0.0015765566997800954,0.7444814584811923,0.7496515702625977,0.047,0.004781558207658679,0.746624378992193,0.7470435592618878
random_forest,aggregate_accuracy,20,0.0026540924071523204,0.0026776648893705067,0.0008975256285398207,0.7456077004968061,0.7485233321504613,0.013,0.0033704051495416555,0.7486759226401702,0.7470435592618878
random_forest,aggregate_accuracy,30,0.0021282951526890716,0.002153085249160272,0.0004968714313953583,0.7462321829903006,0.7478340874142418,0.003,0.0023038024794665816,0.7481251478590015,0.7470435592618878
random_forest,aggregate_accuracy,40,0.00182646269956211,0.00182646269956211,0.0,0.7470435592618878,0.7470435592618878,0.0,0.00182646269956211,0.7470435592618878,0.7470435592618878
random_forest,normal_recall,3,0.0006508154189573248,0.0006437657789490505,0.00015189245019291367,0.9735351663062506,0.9740500463392029,0.042,0.0009684680865944307,0.9737754436549618,0.9738054783235505
random_forest,normal_recall,5,0.0003304347286378937,0.0003334222602633899,0.000122165626421834,0.9735969519102049,0.9740088559365668,0.048,0.0004182462191628,0.973823499124704,0.9738054783235505
random_forest,normal_recall,10,0.00020177193135519387,0.0002055874379152479,7.925273710157333e-05,0.9736793327154771,0.9739269900113274,0.034,0.00021122894268306742,0.973844094326022,0.9738054783235505
