schema_version,dataset,partition_id,split_seed,architecture,seed,aggregate_accuracy,train_time_sec,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
rev1.0,nsl_kdd,4,880004,lightgbm,23,0.9960521646557843,3.48,0.9970075239398085,0.9957305097771326,11696,0.9998766041461007,0.9990136851189743,8104,0.99719232569022,0.99719232569022,2137,0.9367311072056239,0.9673321234119783,569,0.7105263157894737,0.7941176470588235,38
rev1.0,nsl_kdd,4,880004,lightgbm,24,0.9726312987934705,3.35,0.9827291381668947,0.9741503517247224,11696,0.976431391905232,0.9816399950378365,8104,0.9485259709873655,0.9602084320227381,2137,0.8330404217926186,0.9063097514340345,569,0.5,0.38,38
rev1.0,nsl_kdd,4,880004,lightgbm,25,0.9790631653655074,3.34,0.9863201094391245,0.9861514788852795,11696,0.9860562685093781,0.9872745243390165,8104,0.9461862423958821,0.9313680331644404,2137,0.8804920913884007,0.9243542435424354,569,0.5789473684210527,0.5641025641025641,38
rev1.0,nsl_kdd,4,880004,lightgbm,26,0.9764017033356991,3.37,0.9864911080711354,0.981706798264273,11696,0.9833415597235933,0.9823717948717948,8104,0.9246607393542349,0.95,2137,0.8910369068541301,0.9069767441860465,569,0.5789473684210527,0.55,38
rev1.0,nsl_kdd,4,880004,lightgbm,27,0.9660663591199432,3.39,0.9732387140902873,0.9688484126308622,11696,0.9697680157946693,0.9844669923587623,8104,0.9677117454375292,0.9582947173308619,2137,0.7908611599297012,0.9,569,0.5,0.12337662337662338,38
rev1.0,nsl_kdd,4,880004,lightgbm,28,0.9834545777146912,3.44,0.9890560875512996,0.9880423641954219,11696,0.9881539980256664,0.9907212668563652,8104,0.9686476368741226,0.9614491407338597,2137,0.8857644991212654,0.9032258064516129,569,0.5526315789473685,0.5,38
rev1.0,nsl_kdd,4,880004,lightgbm,29,0.9962739531582683,3.56,0.9972640218878249,0.9959016393442623,11696,0.9998766041461007,0.9988905325443787,8104,0.9981282171268133,0.9981282171268133,2137,0.9367311072056239,0.9673321234119783,569,0.7105263157894737,0.84375,38
rev1.0,nsl_kdd,4,880004,lightgbm,30,0.9962295954577715,3.53,0.997093023255814,0.9959859936800751,11696,0.9996298124383021,0.9991366551554021,8104,0.9976602714085167,0.9962616822429906,2137,0.9402460456942003,0.9674502712477396,569,0.7631578947368421,0.8529411764705882,38
rev1.0,nsl_kdd,4,880004,lightgbm,31,0.9960965223562811,3.59,0.9971785225718194,0.9956462352740311,11696,0.9997532082922014,0.9990135635018496,8104,0.99719232569022,0.9976591760299626,2137,0.9367311072056239,0.9690909090909091,569,0.7105263157894737,0.7941176470588235,38
rev1.0,nsl_kdd,4,880004,lightgbm,32,0.971167494677076,3.47,0.977000683994528,0.9798490824901389,11696,0.989634748272458,0.9835663478047584,8104,0.9340196537201685,0.9181232750689973,2137,0.789103690685413,0.8803921568627451,569,0.05263157894736842,0.045454545454545456,38
rev1.0,nsl_kdd,4,880004,lightgbm,33,0.9964070262597587,3.56,0.9973495212038304,0.996072068994962,11696,0.9998766041461007,0.9988905325443787,8104,0.9981282171268133,0.9971949509116409,2137,0.9402460456942003,0.9744990892531876,569,0.7105263157894737,0.8181818181818182,38
rev1.0,nsl_kdd,4,880004,lightgbm,34,0.973429737402413,3.45,0.9803351573187414,0.9827719208022628,11696,0.982847976307996,0.9794638465322184,8104,0.9410388394946186,0.9388422035480859,2137,0.8418277680140598,0.8447971781305115,569,0.631578947368421,0.6666666666666666,38
rev1.0,nsl_kdd,4,880004,lightgbm,35,0.9646912704045423,3.5,0.9722982216142271,0.9757185757185757,11696,0.96964461994077,0.9754220456802384,8104,0.9461862423958821,0.9422180801491147,2137,0.8611599297012302,0.8626760563380281,569,0.15789473684210525,0.05042016806722689,38
rev1.0,nsl_kdd,4,880004,lightgbm,36,0.9962295954577715,3.62,0.997093023255814,0.9960710625213529,11696,0.9998766041461007,0.9991368680641184,8104,0.9981282171268133,0.9976613657623947,2137,0.9402460456942003,0.9657039711191335,569,0.6842105263157895,0.7647058823529411,38
rev1.0,nsl_kdd,4,880004,lightgbm,37,0.975514549325763,3.54,0.97734268125855,0.9845822566752799,11696,0.9833415597235933,0.9799557304476144,8104,0.9653720168460459,0.9288608734804142,2137,0.8857644991212654,0.9473684210526315,569,0.6578947368421053,0.5102040816326531,38
rev1.0,nsl_kdd,4,880004,lightgbm,38,0.9961408800567778,3.5,0.9972640218878249,0.9956466069142126,11696,0.9995064165844028,0.9990133201776024,8104,0.99719232569022,0.9967259120673526,2137,0.9367311072056239,0.970856102003643,569,0.7631578947368421,0.8529411764705882,38
rev1.0,nsl_kdd,4,880004,lightgbm,39,0.9961852377572746,3.55,0.9971785225718194,0.9961564742056713,11696,0.9998766041461007,0.9990136851189743,8104,0.9981282171268133,0.9976613657623947,2137,0.9384885764499121,0.969147005444646,569,0.6578947368421053,0.6944444444444444,38
