schema_version,dataset,config,library,seed,aggregate_accuracy,train_time_sec,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,18,0.7547906316536551,6.37,0.9706518381217176,0.6527700831024931,9711,0.7649503888441942,0.9609230250968502,7458,0.6365138372573317,0.8561111111111112,2421,0.11546840958605664,0.99375,2754,0.13,0.5531914893617021,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,19,0.7435237757274663,5.02,0.9566471012254145,0.6995481927710844,9711,0.7444355054974524,0.9497092028737598,7458,0.6741016109045849,0.5862068965517241,2421,0.10457516339869281,0.4698205546492659,2754,0.0,0.0,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,20,0.7503992193044713,6.43,0.9713726701678509,0.6515402679928167,9711,0.7764816304639314,0.9619601328903654,7458,0.61090458488228,0.8427350427350427,2421,0.07407407407407407,0.9807692307692307,2754,0.05,0.12048192771084337,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,21,0.6070351312987935,4.92,0.7470909278138194,0.6641948182733681,9711,0.7480557790292304,0.5542420027816412,7458,0.349029326724494,0.6722354813046937,2421,0.0007262164124909223,0.008264462809917356,2754,0.02,0.07142857142857142,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,22,0.7483587650816181,6.21,0.9713726701678509,0.6453886152162014,9711,0.7594529364440868,0.9606512890094979,7458,0.6146220570012392,0.8571428571428571,2421,0.09731299927378359,0.9852941176470589,2754,0.09,0.75,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,23,0.7304826117814053,5.09,0.9587066213572237,0.6752248331882796,9711,0.774604451595602,0.9350922628682421,7458,0.5687732342007435,0.5615823817292006,2421,0.0,0.0,2754,0.02,0.03636363636363636,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,24,0.7673438608942512,5.84,0.9686952939964988,0.6887034189911414,9711,0.8260927862697774,0.9622052163048571,7458,0.631144155307724,0.6806236080178174,2421,0.07262164124909223,0.9302325581395349,2754,0.015,0.13636363636363635,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,25,0.7276880766501065,5.49,0.9749768303985171,0.638564780468065,9711,0.7492625368731564,0.955867259664728,7458,0.5567947129285419,0.7841768470040721,2421,0.0,0.0,2754,0.005,0.007352941176470588,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,26,0.7502661462029808,6.51,0.9716815981876222,0.6523783185840708,9711,0.7807723250201126,0.9616845582163501,7458,0.6067740603056588,0.8337116912599319,2421,0.06172839506172839,0.9826589595375722,2754,0.08,0.17777777777777778,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,27,0.6596433640880057,5.34,0.8737514159200906,0.6072860005725738,9711,0.6645213193885761,0.8253122398001665,7458,0.5621643948781495,0.5701717637201508,2421,0.023965141612200435,0.6804123711340206,2754,0.015,0.03614457831325301,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,28,0.7535042583392477,6.35,0.9714756461744414,0.6502619244554728,9711,0.7708500938589434,0.9615320287673524,7458,0.631144155307724,0.8642533936651584,2421,0.09259259259259259,0.9922178988326849,2754,0.105,0.65625,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,29,0.7546132008516678,6.46,0.9706518381217176,0.6528152919177228,9711,0.7704478412443014,0.9610302726208396,7458,0.6290788930194134,0.8508379888268156,2421,0.10711692084241103,0.9899328859060402,2754,0.11,0.5789473684210527,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,30,0.7491572036905607,6.44,0.9713726701678509,0.6465387251542152,9711,0.7601233574684902,0.9606846297237757,7458,0.6125567947129286,0.8542626728110599,2421,0.10130718954248366,0.9893617021276596,2754,0.125,0.7142857142857143,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,31,0.7539034776437189,6.53,0.9710637421480794,0.6516931582584657,9711,0.77420219898096,0.9615320566194837,7458,0.6092523750516315,0.8516166281755196,2421,0.10639070442992012,0.979933110367893,2754,0.12,0.631578947368421,200
